disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4337,WEST PALM BEACH,FL,33406.0,2,52000.0,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120990043004005.0,57ce5160-bc1b-437d-a906-439209111ab1,2010.0
4339,GUAYNABO,PR,969.0,4,30000.0,0,Owner,House/Duplex,0,0,1,3698.52,1.0,0,0.0,,0,0,,1,3480.96,1,0,1,1848.0,1,3698.52,0,,0,,,,,,1.0,0,1330.99,720610404222001.0,e14dc974-cb57-4372-9e7a-509a529b3f9d,2010.0
4339,BAYAMON,PR,961.0,2,3780.0,0,Renter,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,,771783d5-90cb-4614-9b5a-6eb8e533cfd4,
4337,HOMESTEAD,FL,33032.0,3,18048.0,0,Owner,House/Duplex,1,1,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860107032018.0,17c8d349-4204-43d3-95a2-33de4857c2f1,2010.0
4337,HOLIDAY,FL,34691.0,2,,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,121010304122035.0,24615fd7-35c7-418f-b1a1-aa7c741335e6,2010.0
4337,MIAMI,FL,33186.0,4,100000.0,0,Renter,Townhouse,0,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120860188001003.0,12efe8f5-d1d7-4411-b3ee-3a179eed75a0,2010.0
4611,NEW ORLEANS,LA,70119.0,1,13836.0,0,Renter,Assisted Living Facility,0,0,1,,,0,0.0,,0,0,,0,,0,0,1,1061.0,0,,0,,0,,,,,,1.0,0,0.0,220710044022001.0,a98cbecf-cdd9-45d2-8954-bf7b48216114,2020.0
4339,JUANA DIAZ,PR,795.0,1,35000.0,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,720757103011005.0,f87aa9b6-1e75-4edd-ae81-f69cee20c8ef,2010.0
4332,HOUSTON,TX,77093.0,1,,0,Unknown,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,0.0,0,0.0,482012208001010.0,6891cd63-da84-47c2-95e9-472c1b783e12,2010.0
4337,HOMESTEAD,FL,33032.0,4,45000.0,0,Owner,Townhouse,0,1,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,1,,,,,,1.0,0,,120860107044046.0,0cfe7401-4d03-4bbd-95dd-9c112ed74b7e,2010.0
4337,TARPON SPRINGS,FL,34689.0,2,144000.0,0,Owner,House/Duplex,1,0,1,499.5,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,1,,,,,,1.0,0,0.0,121030273082050.0,0667adac-b823-4f6b-a899-db880723e71d,2010.0
4611,HARVEY,LA,70058.0,4,22000.0,0,Renter,Apartment,0,0,1,,,0,0.0,,0,0,,0,,1,1,1,1061.0,0,,0,,0,,,,,,1.0,0,0.0,220510261001004.0,249ef9b2-82a7-4595-a89a-d0c632b2495f,2020.0
4332,PEARLAND,TX,77584.0,1,110000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,480396606022026.0,6bfb8cda-c7f6-4b7e-88b3-1a4422dbf09d,2010.0
4337,OKEECHOBEE,FL,34972.0,9,11184.0,0,Owner,Mobile Home,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,1,1927.8,120939102021008.0,eca9c434-82aa-41ea-a54f-1c26fe919247,2010.0
4337,WINTER PARK,FL,32792.0,2,31000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,1,1002.0,0,,0,,0,,,,,,1.0,0,,121170222011006.0,484bbb1a-5e02-45e2-adf0-7ad160a7a257,2010.0
